17,Разработать чистое,Спроектировать здания и ограждения,,,2025-10-07,4
18,43,erer,,,2025-10-06,2
19,svdWSSF,SFFSD,20:42:17,20:42:31,2025-10-03,1
20,Задача №1,Описание первой задачи.,21:20:23,05:20:23,2025-10-07,1
21,Задача №2,Описание второй задачи.,21:20:23,07:20:23,2025-10-07,2
22,Задача №3,Описание третьей задачи.,21:20:23,09:20:23,2025-10-07,4
23,Задача №4,Описание четвертой задачи.,21:20:23,11:20:23,2025-10-07,5
24,Задача №5,Описание пятой задачи.,21:20:23,13:20:23,2025-10-07,6
25,Задача №6,Описание шестой задачи.,21:20:23,15:20:23,2025-10-07,7
26,Задача №7,Описание седьмой задачи.,21:20:23,17:20:23,2025-10-07,1
27,Задача №8,Описание восьмой задачи.,21:20:23,19:20:23,2025-10-07,2
28,Задача №9,Описание девятой задачи.,21:20:23,21:20:23,2025-10-07,4
29,Задача №10,Описание десятой задачи.,21:20:23,23:20:23,2025-10-07,5
